origin_code,origin_airport,origin_city,origin_state,dest_code,dest_airport,dest_city,dest_state,count
BQN,Rafael Hernández Airport,Aguadilla,PR,MCO,Orlando International Airport,Orlando,FL,441
PHL,Philadelphia International Airport,Philadelphia,PA,MCO,Orlando International Airport,Orlando,FL,4869
MCI,Kansas City International Airport,Kansas City,MO,IAH,George Bush Intercontinental Airport,Houston,TX,1698
SPI,Abraham Lincoln Capital Airport,Springfield,IL,ORD,Chicago O'Hare International Airport,Chicago,IL,998
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,3846
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,DEN,Denver International Airport,Denver,CO,618
ORD,Chicago O'Hare International Airport,Chicago,IL,PDX,Portland International Airport,Portland,OR,2149
EWR,Newark Liberty International Airport,Newark,NJ,STT,Cyril E. King Airport,Charlotte Amalie,VI,239
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,GSP,Greenville-Spartanburg International Airport,Greer,SC,2470
MCI,Kansas City International Airport,Kansas City,MO,MKE,General Mitchell International Airport,Milwaukee,WI,612
PBI,Palm Beach International Airport,West Palm Beach,FL,DCA,Ronald Reagan Washington National Airport,Arlington,VA,978
SMF,Sacramento International Airport,Sacramento,CA,BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,2092
MDW,Chicago Midway International Airport,Chicago,IL,MEM,Memphis International Airport,Memphis,TN,628
LAS,McCarran International Airport,Las Vegas,NV,LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,334
TPA,Tampa International Airport,Tampa,FL,ACY,Atlantic City International Airport,Atlantic City,NJ,335
DSM,Des Moines International Airport,Des Moines,IA,EWR,Newark Liberty International Airport,Newark,NJ,191
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,329
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,LIH,Lihue Airport,Lihue,HI,190
CLE,Cleveland Hopkins International Airport,Cleveland,OH,SJU,Luis Muñoz Marín International Airport,San Juan,PR,43
CPR,Natrona County International Airport,Casper,WY,DEN,Denver International Airport,Denver,CO,956
CAE,Columbia Metropolitan Airport,Columbia,SC,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2684
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,ORD,Chicago O'Hare International Airport,Chicago,IL,1574
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,ONT,Ontario International Airport,Ontario,CA,1303
SFO,San Francisco International Airport,San Francisco,CA,TUS,Tucson International Airport,Tucson,AZ,654
TPA,Tampa International Airport,Tampa,FL,CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,313
AUS,Austin-Bergstrom International Airport,Austin,TX,ELP,El Paso International Airport,El Paso,TX,868
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,IAH,George Bush Intercontinental Airport,Houston,TX,1102
